#OTU ID	SRR14307903	SRR14307904	SRR14307905	SRR14307906	SRR14307907	SRR14307908	SRR14307909	SRR14307914	SRR14307923	SRR14307924	SRR14307925	SRR14307926
OTU_235	0	520	0	2	0	0	0	1	32	1197	0	0
OTU_236	139	2315	0	420	0	0	0	0	3327	0	1709	4013
OTU_237	0	0	50	0	716	3	0	48	0	0	22	1
OTU_238	0	0	0	2	1	0	4261	0	3	0	1	0
OTU_239	1	6724	3	16	0	0	0	0	146	3750	1	0
OTU_240	0	0	0	6	0	0	3347	0	12	0	1	0
OTU_241	0	0	0	9	0	0	0	0	1	8493	0	9
OTU_242	3	2	0	0	0	0	0	0	0	312	0	0
OTU_243	0	1	0	0	0	0	0	0	0	1	0	14
OTU_244	0	12	0	0	0	0	0	0	0	11	0	0
OTU_245	0	0	0	0	0	0	0	0	0	919	0	0
OTU_246	7	25	16	6	6	0	14	15	10	15	3	4
OTU_247	0	0	123	0	923	35	0	154	0	0	67	0
OTU_248	0	0	0	0	0	0	0	0	0	541	0	0
OTU_249	0	504	0	0	0	0	0	0	13	297	0	0
OTU_250	0	0	0	0	0	0	0	0	0	2113	0	0
OTU_251	185	2397	1	626	0	0	2	1	3884	0	2073	4069
OTU_252	0	0	0	0	0	0	0	0	0	451	0	0
OTU_253	0	1	3067	1	1452	662	1	3134	0	0	1636	0
OTU_254	0	3508	0	0	0	0	1	0	0	0	0	0
OTU_255	0	0	0	2	2	0	3932	0	0	0	2	0
OTU_256	0	3	0	3	0	0	0	0	0	234	0	0
OTU_257	0	0	361	0	1575	78	0	387	0	0	147	0
OTU_258	0	0	0	0	0	0	1	0	0	1365	1	0
OTU_259	1	552	0	2	0	0	0	0	458	16	0	0
OTU_260	0	0	0	104	0	0	0	0	574	0	0	0
OTU_261	1	2092	0	0	0	0	0	0	160	1096	0	0
OTU_262	0	196	0	0	0	0	0	0	0	0	0	0
OTU_263	0	0	0	0	0	0	0	0	0	507	0	0
OTU_264	8	73	2	0	0	4	11	10	4	49	1	1
OTU_265	0	0	0	0	0	0	0	0	0	336	0	0
OTU_266	0	1	0	1	0	0	0	0	0	8057	0	0
OTU_267	5	25	156	1296	0	1	0	0	3	3872	0	27
OTU_268	215	5277	524	713	0	0	0	0	0	229	0	0
OTU_269	0	0	0	0	0	0	0	0	0	177	0	0
OTU_270	0	1	0	1	0	0	0	0	0	1163	0	2
OTU_271	2	0	0	0	0	0	0	0	0	3642	0	2
OTU_272	0	0	1027	0	624	243	0	1166	2	0	669	0
OTU_273	0	0	0	0	0	0	31	0	0	0	0	0
OTU_274	0	44	0	0	0	0	0	0	3	16	1	0
OTU_275	0	1	1771	0	893	415	0	1934	0	0	998	0
OTU_276	0	260	2	0	0	0	0	0	268	22	0	0
OTU_277	0	0	0	0	0	0	0	0	0	101	0	0
OTU_278	0	1138	0	0	0	0	0	0	28	900	0	0
OTU_279	6556	24287	2	0	2	1	4	0	6880	168	6	4
OTU_280	0	0	0	141	0	0	0	0	0	0	0	0
OTU_281	59	1227	0	0	0	0	0	0	0	3	0	0
OTU_282	0	1	1658	0	652	310	1	1605	0	0	900	0
OTU_283	0	0	0	549	0	0	0	0	0	2	0	0
OTU_284	0	415	0	0	0	0	0	0	0	0	0	0
OTU_285	1	0	0	0	0	0	0	0	0	937	0	0
OTU_286	1155	11134	208	0	0	1	1	0	308	2146	3	0
OTU_287	0	1	1	12	5	0	22596	1	28	1	10	1
OTU_288	0	40	0	0	0	0	0	0	0	524	0	0
OTU_289	153	1895	0	0	0	0	1	0	1	339	0	0
OTU_290	0	1	0	0	1	1	0	0	1	8725	0	0
OTU_291	0	0	0	0	0	0	1	0	0	1272	0	0
OTU_292	0	0	0	0	0	0	0	0	1	514	0	0
OTU_293	2035	30512	1022	2	3	1	0	2	1164	17351	5	2
OTU_294	0	0	0	0	0	0	0	0	0	287	0	0
OTU_295	0	0	0	0	0	0	0	0	0	2	0	43
OTU_296	99	1657	0	319	1	0	0	0	2212	0	1255	2271
OTU_297	0	0	0	0	0	0	0	0	0	192	0	0
OTU_298	0	0	0	0	0	0	3011	0	3	0	0	0
OTU_299	0	0	0	0	0	0	0	0	0	842	0	0
OTU_300	0	1	2848	0	1345	597	1	3195	0	0	1519	1
OTU_301	0	0	0	5	0	0	10383	0	10	0	5	0
OTU_302	2	7233	1	14	0	0	0	0	250	818	0	0
OTU_303	831	7847	0	0	1	0	0	0	0	326	0	0
OTU_304	0	1	0	0	0	0	0	0	0	5327	0	0
OTU_305	33	3084	0	0	0	0	0	0	0	27	0	0
OTU_306	0	0	0	783	4	0	0	1	0	0	589	0
OTU_307	0	1	0	0	0	0	1	0	0	1032	0	0
OTU_308	0	1	2146	0	768	341	1	2370	0	0	935	0
OTU_309	243	2295	0	0	0	0	0	0	79	9	1	0
OTU_310	0	0	0	0	0	0	0	0	0	1817	0	0
OTU_311	0	0	0	0	0	1	6454	0	4	0	1	1
OTU_312	0	1	0	0	0	0	0	0	0	3763	0	0
OTU_313	219	5986	0	0	0	0	1	0	0	190	0	0
OTU_314	294	4176	0	24	0	0	20	0	634	126	2	0
OTU_315	0	0	0	0	0	0	0	0	0	1193	0	0
OTU_316	0	0	0	0	0	0	0	0	0	454	0	0
OTU_317	0	13	1	0	1	0	0	1	1	22735	1	4
OTU_318	1	0	0	0	0	0	0	0	0	5167	0	5
OTU_319	0	1	0	55	276	0	0	408	0	0	80	0
OTU_320	1	0	724	0	295	765	0	1527	0	1	1396	0
OTU_321	0	0	0	0	0	0	1807	0	1	0	1	0
OTU_322	0	0	0	178	0	0	0	0	819	0	0	0
OTU_323	0	86	0	0	0	0	0	0	0	0	0	0
OTU_324	0	3	0	0	0	0	0	0	0	522	0	0
OTU_325	0	0	0	0	0	0	44	0	0	0	0	0
OTU_326	0	0	299	0	63	53	0	311	0	0	155	0
OTU_327	5	2798	15	1	0	0	0	0	1000	227	0	0
OTU_328	79	1428	0	282	0	0	0	0	1805	1	979	1857
OTU_329	0	0	0	196	0	0	0	0	0	0	0	0
OTU_330	2	1	0	12	1	0	5398	0	11	2	0	0
OTU_331	1	0	0	0	0	0	497	0	0	0	0	0
OTU_332	0	3255	0	0	0	0	0	0	57	1584	0	0
OTU_333	6	3436	0	0	0	0	1	0	217	1858	0	1
OTU_334	0	125	0	0	0	0	0	0	15	567	0	0
OTU_335	0	0	156	0	898	23	0	174	0	0	66	0
OTU_336	0	0	0	0	0	0	0	1	0	1372	0	0
OTU_337	5014	1767	0	4338	0	0	0	0	1755	607	0	0
OTU_338	0	3	0	1	0	1	0	0	1	13479	0	2
OTU_339	1	0	314	0	1979	55	0	344	0	0	130	0
OTU_340	107	1795	0	286	0	0	0	0	2841	2	1420	3254
OTU_341	0	1	0	9	1	0	2659	0	12	0	0	0
OTU_342	0	0	0	75	292	0	0	485	0	0	116	0
OTU_343	278	4487	0	930	0	0	0	0	5988	1	3107	6940
OTU_344	0	0	240	0	57	166	0	407	0	0	325	0
OTU_345	0	2099	0	1	0	0	0	0	40	1006	0	0
OTU_346	1	246	68	539	0	0	0	0	8	207	0	6
OTU_347	0	0	0	0	0	0	0	0	0	0	0	22
OTU_348	0	0	0	0	0	0	0	0	0	16	0	0
OTU_349	0	0	0	248	0	0	0	0	0	1	0	0
OTU_350	1	1	617	0	9419	129	1	587	0	3	334	0
OTU_351	66	1465	0	0	0	0	0	0	0	28	0	0
OTU_352	0	0	15	0	1221	0	0	12	0	0	1	0
OTU_353	202	2017	0	0	0	0	0	0	0	72	0	0
OTU_354	0	0	95	0	500	20	0	105	0	0	44	0
OTU_355	0	605	304	77	0	0	0	0	5	112	1	0
OTU_356	0	3	0	0	0	0	4	0	0	9738	0	0
OTU_357	0	2	1706	0	934	336	1	1928	0	0	970	1
OTU_358	0	0	0	4	0	0	3153	0	2	0	1	0
OTU_359	0	0	30	0	2439	2	0	20	0	0	6	0
OTU_360	0	0	68	0	10	9	0	83	0	0	17	0
OTU_361	0	0	0	0	0	0	0	0	0	0	0	24
OTU_362	3	13263	32	0	0	0	1	0	44	759	1	1
OTU_363	494	8527	142	0	0	0	0	1	169	2472	2	0
OTU_364	1	1	0	1	2	0	5194	1	1	0	6	0
OTU_365	0	6	0	0	0	0	0	0	0	1464	0	0
OTU_366	0	0	0	0	0	0	0	0	0	235	1	0
OTU_367	0	0	0	212	0	0	0	0	0	0	0	0
OTU_368	0	0	269	0	1187	43	0	269	0	0	123	0
OTU_369	0	0	0	0	0	0	0	0	0	107	0	0
OTU_370	0	4	0	0	0	0	0	0	0	115	0	102
OTU_371	0	5	0	0	0	0	0	0	1	14049	0	0
OTU_372	0	3	0	0	0	0	0	0	0	7496	0	0
OTU_373	0	0	0	0	0	0	0	0	0	3961	0	0
OTU_374	0	0	2956	0	1532	517	0	3087	0	0	1544	0
OTU_375	0	0	0	0	0	0	0	0	0	1035	0	0
OTU_376	0	0	74	0	11	116	0	190	0	0	204	0
OTU_377	0	0	0	0	0	0	0	1	0	784	0	0
OTU_378	0	571	3	0	0	0	0	0	468	47	1	0
OTU_379	0	1698	0	0	0	0	1	0	29	963	0	2
