#OTU ID	SRR14307903	SRR14307904	SRR14307905	SRR14307906	SRR14307907	SRR14307908	SRR14307909	SRR14307914	SRR14307923	SRR14307924	SRR14307925	SRR14307926
OTU_212	0	35	0	0	0	0	0	0	0	0	0	0
OTU_213	0	0	0	0	0	0	0	0	0	0	0	52
OTU_214	0	0	0	0	0	0	0	0	0	0	20	0
OTU_215	0	110	0	0	0	0	0	0	0	0	0	0
OTU_216	0	0	0	0	0	0	0	0	0	63	0	0
OTU_217	0	0	0	0	0	0	0	0	0	52	0	0
OTU_218	0	0	0	0	0	0	0	0	0	156	0	0
OTU_219	0	0	0	0	0	0	0	0	0	104	0	0
OTU_220	0	0	0	0	167	0	0	0	0	0	0	0
OTU_221	0	0	0	0	56	0	0	50	0	0	0	0
