taxonomy,SRR14307903,SRR14307904,SRR14307905,SRR14307906,SRR14307907,SRR14307908,SRR14307909,SRR14307914,SRR14307923,SRR14307924,SRR14307925,SRR14307926,mean
Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;Staphylococcus warneri,NA,0.00317311406655262,NA,NA,NA,NA,NA,NA,NA,0.00288926007855176,NA,NA,0.00303118707255219
Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;Varibaculum;Varibaculum cambriense,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00270868132364227,NA,NA,0.00270868132364227
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Paracoccus;Paracoccus yeei,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0023475238138233,NA,NA,0.0023475238138233
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus oralis,NA,0.00151757629269908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00151757629269908
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus sanguinis,NA,0.00137961481154462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00137961481154462
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus,6.03299829319173,15.8542574913084,95.1721224463268,39.4796655572693,99.9749204106911,99.9724200180523,97.3733488536869,99.8526345879929,54.1971963227735,0.0245587106676899,98.7380524540144,99.0561626873417,67.1440281527764
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Fenollaria,NA,0.00758788146349539,NA,NA,NA,NA,NA,NA,NA,36.1063608866417,NA,NA,18.0569743840526
Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Aerococcus,15.5342309880523,0.978836708790906,NA,29.7318505289932,NA,NA,NA,NA,2.86102246863839,0.422193128978376,NA,NA,9.90562676469063
Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Megasphaera,50.5776597762185,22.7774405386016,0.00812409280963626,0.0216467786887464,0.0107483954181126,0.0275799819476482,0.00661821098077994,NA,33.9489775907867,0.391133583133944,0.0552901967409501,0.0148999902379374,9.80364719414223
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Peptoniphilus,0.0212402806751375,7.12446884829756,0.39591412292294,12.4225451200043,NA,NA,NA,NA,1.0155753243126,13.9786014175432,NA,0.0565172043507971,5.00212318830094
Bacteria;Firmicutes;Clostridia;Oscillospirales;Hungateiclostridiaceae;Fastidiosipila,17.0771856628105,12.2533248716958,NA,NA,NA,NA,NA,0.00492860909722667,0.481343483144064,0.752291092952914,0.0189420118464366,0.0205517106730171,4.37265249174572
Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Dialister,5.62867437891144,14.9082556150323,1.7233908880175,5.33863679411208,0.00563011188567802,NA,NA,NA,1.64637298771683,9.97029479481739,0.0296928834349547,0.0113034408701594,4.36247243275537
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Parvimonas,3.18907642708136,7.22559461398378,NA,NA,NA,NA,NA,NA,NA,6.04794365942847,0.00819114025791853,NA,4.11770146018788
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella,0.538592831405272,5.41485017383147,0.47877986958123,2.0794436777877,NA,NA,NA,NA,3.09367181882469,5.3707733285179,NA,NA,2.82935194999138
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium sensu stricto 1,NA,NA,NA,NA,NA,NA,1.96171559600883,NA,NA,NA,NA,NA,1.96171559600883
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Ezakiella,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.90898830752562,NA,0.014386197471112,1.96168725249837
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Sneathia,0.0136544661483027,6.38706473152696,NA,NA,NA,NA,NA,NA,0.437666018932844,1.8296239447429,0.00819114025791853,NA,1.73524006032178
Bacteria;Firmicutes;Bacilli;Staphylococcales;Gemellaceae;Gemella,0.020481699222454,3.48325147618785,NA,NA,NA,NA,NA,NA,0.547602493478093,2.20667238499391,NA,NA,1.56450201347058
Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Campylobacteraceae;Campylobacter,NA,0.00620826665195078,NA,NA,NA,NA,NA,NA,0.0074281401719763,6.05209697079139,NA,0.0292861877090494,1.52375489133109
