#OTU ID	NXT031_YAN_001	NXT031_YAN_002	NXT031_YAN_003	NXT031_YAN_004	NXT031_YAN_005	NXT031_YAN_006	NXT031_YAN_007	NXT031_YAN_008	NXT031_YAN_009	NXT031_YAN_010	NXT031_YAN_011	NXT031_YAN_012	NXT031_YAN_013	NXT031_YAN_014	NXT031_YAN_015	NXT031_YAN_016	NXT031_YAN_017	NXT031_YAN_018	NXT031_YAN_019	NXT031_YAN_020	NXT031_YAN_021	NXT031_YAN_022	NXT031_YAN_023	NXT031_YAN_025	NXT031_YAN_026	NXT031_YAN_027	NXT031_YAN_028	NXT031_YAN_029	NXT031_YAN_030	NXT031_YAN_031	NXT031_YAN_032	NXT031_YAN_033	NXT031_YAN_034	NXT031_YAN_035	NXT031_YAN_036	NXT031_YAN_037	NXT031_YAN_038	NXT031_YAN_039	NXT031_YAN_040	NXT031_YAN_041	NXT031_YAN_042	NXT031_YAN_043	NXT031_YAN_044	NXT031_YAN_045	NXT031_YAN_046	NXT031_YAN_047	NXT031_YAN_049	NXT031_YAN_050	NXT031_YAN_051	NXT031_YAN_052	NXT031_YAN_053	NXT031_YAN_054	NXT031_YAN_055	NXT031_YAN_056	NXT031_YAN_057	NXT031_YAN_058	NXT031_YAN_059	NXT031_YAN_061	NXT031_YAN_062	NXT031_YAN_063	NXT031_YAN_064	NXT031_YAN_065	NXT031_YAN_066	NXT031_YAN_067	NXT031_YAN_068	NXT031_YAN_069	NXT031_YAN_070	NXT031_YAN_071	NXT031_YAN_072	NXT031_YAN_073	NXT031_YAN_074	NXT031_YAN_075	NXT031_YAN_076	NXT031_YAN_077	NXT031_YAN_078	NXT031_YAN_079	NXT031_YAN_080	NXT031_YAN_081	NXT031_YAN_082	NXT031_YAN_083	NXT031_YAN_084	NXT031_YAN_085	NXT031_YAN_086	NXT031_YAN_087	NXT031_YAN_088	NXT031_YAN_089	NXT031_YAN_090	NXT031_YAN_091	NXT031_YAN_092	NXT031_YAN_093	NXT031_YAN_094	NXT031_YAN_095
zOTU_1488	0	2	0	0	0	0	0	1	0	1	3	0	0	0	19	5	0	0	0	0	5	0	44	0	2	2	0	6	1	5	0	31	1	1	0	0	0	1	5	0	5	1	6	41	1	106	3	5	1	4	0	0	64	0	4	100	1	0	31	2	1	0	2	0	0	11	6	0	0	7	0	10	2	59	14	0	0	14	0	5	0	0	4	105	3	2	1	18	0	1	0	78
zOTU_14894	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	3	0	0	0	0	1	0	0	0	1	2	0	0	9	0	1	2	5	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	12	1	0	0	0	1	0	1	0	4	7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	2	1
zOTU_149	50	58	15	40	26	46	19	25	19	0	6	0	92	110	13	32	37	57	19	37	44	44	38	34	15	70	0	185	60	11	17	55	110	27	0	0	108	131	32	20	70	16	11	36	42	11	60	52	90	40	20	1	27	36	65	89	140	54	6	12	30	140	61	64	24	41	70	497	0	656	0	16	49	79	83	54	110	53	68	18	0	54	30	18	14	52	21	3	3	8	24	8
zOTU_1490	5	8	0	0	0	0	2	7	6	5	1	0	2	90	1	1	9	3	4	2	5	10	28	1	2	3	4	2	0	11	8	6	9	4	0	0	5	15	3	0	1	2	3	5	2	1	5	0	15	3	1	26	3	14	20	12	0	3	3	0	44	1	4	5	0	0	9	0	0	1	15	2	10	7	2	7	0	17	0	1	0	0	65	4	14	19	237	6	9	5	1	3
zOTU_14902	97	46	41	21	99	9	24	82	48	44	9	0	28	55	55	32	17	41	97	24	59	79	15	93	29	35	46	27	26	29	20	35	85	9	0	2	24	5	33	51	12	62	20	0	103	26	41	0	16	20	51	1	15	141	6	1	3	58	76	40	28	63	23	87	8	47	36	24	0	64	8	33	35	3	41	35	73	20	46	6	0	138	40	2	60	68	7	30	55	74	44	55
zOTU_14908	0	36	1	0	0	0	0	0	2	1	1	0	0	0	2	0	8	3	15	0	10	0	1	2	2	1	0	3	1	3	0	3	0	1	0	0	3	1	0	1	4	1	0	7	0	2	0	5	0	29	1	1	3	0	5	1	0	0	0	0	2	0	4	1	0	1	0	0	0	0	0	1	12	2	3	0	0	5	0	1	0	0	1	1	4	16	0	5	4	1	5	0
zOTU_14912	4	15	1	0	0	3	6	3	1	2	2	0	2	1	7	3	2	0	3	1	1	2	0	3	20	1	0	8	1	14	5	8	1	24	0	0	1	1	21	0	4	2	3	10	5	2	1	12	0	6	3	0	11	12	0	14	1	3	6	0	2	14	13	0	2	3	9	2	0	3	3	3	2	11	9	0	0	17	1	3	0	0	2	3	11	4	0	2	1	1	7	2
zOTU_14918	0	3	0	0	0	0	0	3	0	3	0	0	0	0	2	0	1	5	2	0	0	0	0	1	0	1	0	1	4	10	1	1	0	0	0	0	2	0	6	0	0	0	1	1	2	0	1	0	0	0	2	0	0	0	0	1	0	1	0	0	0	3	0	0	0	4	2	0	0	0	0	1	1	1	3	0	0	2	1	0	0	3	0	0	0	0	0	2	0	1	3	2
zOTU_1492	0	1	0	6	1	23	1	2	8	4	4	0	6	1	0	13	9	28	11	2	6	0	5	13	6	7	8	32	1	20	31	12	3	1	0	0	30	27	8	1	39	1	8	0	13	9	13	9	5	64	5	1	12	3	1	45	0	11	0	4	3	12	12	1	1	18	0	0	0	20	0	7	14	25	76	12	4	31	2	2	0	15	9	4	1	1	13	3	0	4	14	11
zOTU_14923	0	2	0	0	0	0	1	0	2	0	1	0	0	0	3	0	0	0	0	0	1	0	9	2	0	3	0	2	0	0	0	0	0	1	0	0	0	2	2	1	1	0	0	2	0	4	1	0	0	12	1	0	0	0	0	3	0	1	1	0	1	0	2	0	0	3	0	0	0	2	0	1	1	0	6	0	0	1	1	0	0	0	0	0	1	0	0	0	1	1	1	1
zOTU_14924	0	1	0	2	2	0	1	0	2	1	0	0	1	1	0	6	1	4	2	4	1	2	0	3	0	0	0	2	2	1	2	0	1	1	0	0	3	3	4	0	1	3	1	1	5	0	4	3	1	3	0	0	1	5	6	12	3	0	3	0	6	0	0	1	2	0	7	0	0	8	2	2	3	5	2	3	3	2	0	0	0	0	1	5	1	2	3	3	2	0	3	0
zOTU_14926	4	10	3	3	1	5	1	1	4	1	0	0	8	1	0	6	3	8	1	10	2	5	1	1	0	4	0	5	0	19	5	3	2	2	0	0	4	4	3	0	6	0	4	2	4	0	4	4	9	7	2	1	4	0	3	7	0	7	1	1	3	3	6	0	1	16	1	0	0	2	0	4	3	3	7	4	1	2	3	2	0	6	6	0	2	0	2	0	1	2	4	4
